graph,attacker,defender,seed,nodes,edges,actual_density,density_parameter,attack_budget,defense_budget,attack_multiplier,rounds_requested,rounds_played,initial_length,final_length,total_damage,mean_round_damage,max_round_damage,mean_damage_ratio,final_damage_ratio,total_attacked_edges,unique_attacked_edges,mean_protected_edges,runtime_seconds
Grid / lattice,Shortest path,Random,1,5,5,0.5,0.35,2,2,3.0,3,3,5,15.0,10.0,3.3333333333333335,7,1.55,3.0,5,5,2.0,0.0003
Grid / lattice,Shortest path,Random,0,10,13,0.2889,0.35,1,0,3.0,3,3,14,30.0,16.0,5.333333333333333,7,1.3015873015873016,2.142857142857143,3,3,0.0,0.0006
Grid / lattice,Shortest path,Random,0,10,13,0.2889,0.35,1,2,3.0,3,3,14,30.0,16.0,5.333333333333333,7,1.3015873015873016,2.142857142857143,3,3,2.0,0.0005
Grid / lattice,Shortest path,Random,0,10,13,0.2889,0.35,2,0,3.0,3,3,14,42.0,28.0,9.333333333333334,12.0,1.4428571428571428,3.0,6,6,0.0,0.0006
Grid / lattice,Shortest path,Random,0,10,13,0.2889,0.35,2,2,3.0,3,3,14,42.0,28.0,9.333333333333334,14.0,1.4444444444444444,3.0,6,6,2.0,0.0007
Grid / lattice,Shortest path,Random,1,10,13,0.2889,0.35,1,0,3.0,3,3,12,20.0,8.0,2.6666666666666665,4,1.1898148148148149,1.6666666666666667,3,3,0.0,0.0006
Grid / lattice,Shortest path,Random,1,10,13,0.2889,0.35,1,2,3.0,3,3,12,20.0,8.0,2.6666666666666665,4,1.1898148148148149,1.6666666666666667,3,3,2.0,0.0005
Grid / lattice,Shortest path,Random,1,10,13,0.2889,0.35,2,0,3.0,3,3,12,34.0,22.0,7.333333333333333,14.0,1.4277777777777778,2.8333333333333335,6,6,0.0,0.0006
Grid / lattice,Shortest path,Random,1,10,13,0.2889,0.35,2,2,3.0,3,3,12,28.0,16.0,5.333333333333333,12.0,1.361111111111111,2.3333333333333335,6,6,2.0,0.0005
Grid / lattice,Shortest path,Centrality,0,5,5,0.5,0.35,1,0,3.0,3,3,8,24.0,16.0,5.333333333333333,8,1.4886363636363635,3.0,3,3,0.0,0.0004
Grid / lattice,Shortest path,Centrality,0,5,5,0.5,0.35,1,2,3.0,3,3,8,8,0,0.0,0,1.0,1.0,3,3,2.0,0.0004
Grid / lattice,Shortest path,Centrality,0,5,5,0.5,0.35,2,0,3.0,3,3,8,24.0,16.0,5.333333333333333,8,1.5,3.0,5,5,0.0,0.0004
Grid / lattice,Shortest path,Centrality,0,5,5,0.5,0.35,2,2,3.0,3,3,8,8,0,0.0,0,1.0,1.0,3,3,2.0,0.0004
Grid / lattice,Shortest path,Centrality,1,5,5,0.5,0.35,1,0,3.0,3,3,5,15.0,10.0,3.3333333333333335,6.0,1.5136363636363637,3.0,3,3,0.0,0.0004
Grid / lattice,Shortest path,Centrality,1,5,5,0.5,0.35,1,2,3.0,3,3,5,5,0,0.0,0,1.0,1.0,3,3,2.0,0.0004
Grid / lattice,Shortest path,Centrality,1,5,5,0.5,0.35,2,0,3.0,3,3,5,15.0,10.0,3.3333333333333335,7,1.55,3.0,5,5,0.0,0.0005
Grid / lattice,Shortest path,Centrality,1,5,5,0.5,0.35,2,2,3.0,3,3,5,5,0,0.0,0,1.0,1.0,3,3,2.0,0.0004
Grid / lattice,Shortest path,Centrality,0,10,13,0.2889,0.35,1,0,3.0,3,3,14,30.0,16.0,5.333333333333333,7,1.3015873015873016,2.142857142857143,3,3,0.0,0.0006
Grid / lattice,Shortest path,Centrality,0,10,13,0.2889,0.35,1,2,3.0,3,3,14,26.0,12.0,4.0,7,1.246031746031746,1.8571428571428572,3,3,2.0,0.0007
Grid / lattice,Shortest path,Centrality,0,10,13,0.2889,0.35,2,0,3.0,3,3,14,42.0,28.0,9.333333333333334,12.0,1.4428571428571428,3.0,6,6,0.0,0.0007
Grid / lattice,Shortest path,Centrality,0,10,13,0.2889,0.35,2,2,3.0,3,3,14,28.0,14.0,4.666666666666667,7,1.2777777777777777,2.0,6,6,2.0,0.0008
Grid / lattice,Shortest path,Centrality,1,10,13,0.2889,0.35,1,0,3.0,3,3,12,20.0,8.0,2.6666666666666665,4,1.1898148148148149,1.6666666666666667,3,3,0.0,0.0006
Grid / lattice,Shortest path,Centrality,1,10,13,0.2889,0.35,1,2,3.0,3,3,12,14,2,0.6666666666666666,2,1.0555555555555556,1.1666666666666667,3,3,2.0,0.0008
Grid / lattice,Shortest path,Centrality,1,10,13,0.2889,0.35,2,0,3.0,3,3,12,34.0,22.0,7.333333333333333,14.0,1.4277777777777778,2.8333333333333335,6,6,0.0,0.0006
Grid / lattice,Shortest path,Centrality,1,10,13,0.2889,0.35,2,2,3.0,3,3,12,14,2,0.6666666666666666,2,1.0555555555555556,1.1666666666666667,6,6,2.0,0.0008
Grid / lattice,Shortest path,Greedy,0,5,5,0.5,0.35,1,0,3.0,3,3,8,24.0,16.0,5.333333333333333,8,1.4886363636363635,3.0,3,3,0.0,0.0003
Grid / lattice,Shortest path,Greedy,0,5,5,0.5,0.35,1,2,3.0,3,3,8,8,0,0.0,0,1.0,1.0,3,3,2.0,0.004
Grid / lattice,Shortest path,Greedy,0,5,5,0.5,0.35,2,0,3.0,3,3,8,24.0,16.0,5.333333333333333,8,1.5,3.0,5,5,0.0,0.0003
